Track,Artist,Album,Popularity,Danceability,Energy,Valence,Tempo,id,Date Added,Genres
All My Life (feat. J. Cole),"['Lil Durk', 'J. Cole']",All My Life (feat. J. Cole),74,,,,,6HgWWaMu31KdOpEG5l28BG,2023-05-14T10:15:17Z,N/A
Life Is Good (feat. Drake),"['Future', 'Drake']",Life Is Good (feat. Drake),74,,,,,5yY9lUy8nbvjM1Uyo1Uqoc,2023-02-06T22:02:19Z,N/A
Ready ‘24 (feat. Cam’ron),"['J. Cole', ""Cam'ron""]",Might Delete Later,73,,,,,4J9WveqdoaEUQu1aeoSH9X,2024-04-30T13:08:46Z,N/A
Trae The Truth in Ibiza,['J. Cole'],Might Delete Later,73,,,,,4E2fOeF5A6onC10OtnjXJa,2024-04-05T16:21:27Z,N/A
Controlla,['Drake'],Views,73,,,,,3O8NlPh2LByMU9lSRSHedm,2024-03-18T07:46:16Z,N/A
Man! I Feel Like A Woman!,['Shania Twain'],Come On Over (Diamond Edition / Super Deluxe),73,,,,,2mqaYmF0XmV8egZB6jQOtN,2024-02-21T19:10:54Z,N/A
Good Morning,['Kanye West'],Graduation,73,,,,,6MXXY2eiWkpDCezVCc0cMH,2024-01-15T23:04:02Z,N/A
Happiness (feat. Asake & Gunna),"['Sarz', 'Asake', 'Gunna']",Happiness (feat. Asake & Gunna),73,,,,,6rOqLUy3kp0PVQQEtNPpbQ,2023-12-18T18:18:19Z,N/A
Cleanin' Out My Closet,['Eminem'],The Eminem Show,73,,,,,7BMO7O7ImjV8HNTH74Tshv,2023-12-18T07:23:49Z,N/A
Tyler Herro,['Jack Harlow'],Thats What They All Say,73,,,,,3w1WjD2zJqjBjDz5fwqQPJ,2023-12-01T06:15:03Z,N/A
Whatcha Say,['Jason Derulo'],Jason Derulo (International),73,,,,,7xkQdy0cy5ymoWT7nedvLz,2023-07-09T18:33:44Z,N/A
Jealous,['Labrinth'],Jealous - EP,73,,,,,4G92yYrUs0cvY7G41YRI0z,2023-07-01T04:19:58Z,N/A
Hours In Silence,"['Drake', '21 Savage']",Her Loss,73,,,,,0sSRLXxknVTQDStgU1NqpY,2023-05-29T06:25:17Z,N/A
Way 2 Sexy (with Future & Young Thug),"['Drake', 'Future', 'Young Thug']",Certified Lover Boy,73,,,,,0k1WUmIRnG3xU6fvvDVfRG,2023-02-06T21:45:38Z,N/A
They Don't Care About Us,['Michael Jackson'],"HIStory - PAST, PRESENT AND FUTURE - BOOK I",73,,,,,3wuCCNCnBhJlwkIJTBZFiv,2023-01-02T19:13:43Z,N/A
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']",Grateful,72,,,,,3DXncPQOG4VBw3QHh3S817,2024-02-27T09:29:43Z,N/A
Gently (feat. Bad Bunny),"['Drake', 'Bad Bunny']",For All The Dogs,72,,,,,6ZprqcYFC6D9eIZaCoqrSn,2023-12-16T06:53:42Z,N/A
